available_ingredients,recipe_name,recipe_ingredients,instructions,
"Potato, Carrot, Flour, Spices",Potato Carrot Cutlet,"Potato, carrot, bread crumbs, flour, ginger, green chilies, coriander, garam masala, salt","Boil and mash potatoes and carrots. Add spices, chopped chilies, and coriander. Shape into patties, dip in flour slurry, coat with bread crumbs, and shallow fry until golden brown. Serve with chutney or ketchup.",
"Potato, Carrot, Butter, Milk",Mashed Potato and Carrot,"Vegetables, mustard leaves, fermented soybeans, salt","Boil potatoes and carrots until soft. Mash them together, add butter, and gradually mix in warm milk until creamy. Season with salt and pepper. Serve as a side dish.",
"Potato, Carrot, Spices, Oil",Vegetable Curry,"Potato, carrot, onion, tomato, ginger-garlic paste, spices (turmeric, chili powder, garam masala), salt","Heat oil in a pan. Add onions, ginger-garlic paste, and tomatoes. Add chopped potatoes and carrots. Cook with water and spices until vegetables are soft. Garnish with coriander leaves. Serve with rice or roti.",
"Potato, Carrot, Peas, Flour",Vegetable Paratha," Potato, carrot, peas, whole wheat flour, cumin seeds, green chilies, salt, oil","Grate boiled carrots and potatoes. Mix with peas, green chilies, and spices. Knead whole wheat flour with water. Stuff the vegetable filling into the dough, roll it flat, and cook on a tawa with oil. Serve with curd or pickle.",
"Potato, Carrot, Rice, Spices",Vegetable Pulao,"Potato, carrot, rice, onion, garlic, green peas, spices (cumin, bay leaf, garam masala), salt","Heat oil in a cooker, add cumin seeds and bay leaf. Fry onions and garlic. Add chopped potatoes, carrots, peas, and washed rice. Add water, spices, and cook for 10 minutes. Serve hot.",
"Potato, Carrot, Cream, Spices",Creamy Potato Carrot Soup,"Potato, carrot, onion, garlic, vegetable broth, cream, olive oil, black pepper, salt","Heat oil in a pot, sauté onions and garlic. Add chopped potatoes and carrots. Pour in vegetable broth and cook until tender. Blend until smooth. Stir in cream, season with salt and pepper, and serve hot.",
"Potato, Carrot, Cheese, Flour",Vegetable Fritters,"Potato, carrot, grated cheese, flour, spices, oil","Grate potatoes and carrots. Mix with cheese, flour, and spices. Form small fritters and deep fry until golden brown. Serve with mint chutney or ketchup.",
"Potato, Carrot, Yogurt, Spices",Vegetable Raita,"Potato, carrot, yogurt, cumin, black salt, coriander","Boil and dice potatoes and carrots. Mix with whisked yogurt, salt, and cumin powder. Garnish with coriander. Serve as a cooling side dish.",
"Potato, Carrot, Garlic, Butter",Garlic Herb Roasted Vegetables,"Potato, carrot, garlic, butter, rosemary, olive oil, salt, pepper","Chop potatoes and carrots into chunks. Toss with olive oil, minced garlic, rosemary, salt, and pepper. Roast in a preheated oven at 200°C for 30-35 minutes until golden and crispy. Serve as a side dish.",
"Fish, Onion, Tomato, Coconut",Goan Fish Curry,"Fish, onion, tomato, coconut milk, tamarind, garlic, turmeric, red chili powder, salt, oil","Heat oil and sauté garlic, onions, and tomatoes. Add turmeric and chili powder. Pour in coconut milk and tamarind juice. Bring to a boil, then add fish and cook until tender. Serve with rice.",
"Fish, Onion, Tomato, Rice",Fish Biryani,"Fish, onion, tomato, rice, ginger-garlic paste, yogurt, garam masala, bay leaf, cinnamon, cloves, salt","Marinate fish in yogurt, ginger-garlic paste, and spices. Cook rice separately. In a pot, fry onions, tomatoes, and whole spices. Layer fish and rice, then cook on low heat. Garnish with fried onions and serve with raita.",
"Fish, Onion, Tomato, Chili",Spicy Fish Masala,"Fish, onion, tomato, green chilies, ginger, garlic, turmeric, garam masala, coriander, salt, oil","Heat oil in a pan. Sauté onions, garlic, and ginger. Add chopped tomatoes and green chilies. Cook until soft. Add spices and stir well. Add fish pieces and cook until done. Garnish with coriander and serve with roti.",
"Fish, Onion, Tomato, Lemon",Fish Salad,"Fish, onion, tomato, lemon, olive oil, cucumber, lettuce, salt, black pepper","Grill or bake the fish. In a bowl, mix chopped onions, tomatoes, cucumber, and lettuce. Flake the fish and add it to the salad. Drizzle with lemon juice, olive oil, salt, and pepper. Toss well and serve.",
"Fish, Onion, Tomato, Yogurt",Fish Tikka Masala,"Fish, onion, tomato, yogurt, ginger-garlic paste, garam masala, cumin, turmeric, red chili powder, salt, oil","Marinate fish in yogurt, ginger-garlic paste, and spices. Grill or pan-fry the fish. In a separate pan, cook onions and tomatoes with garam masala. Add water to make a gravy and simmer. Add the grilled fish and cook for a few minutes. Serve with naan or rice.",
"Mutton Brain, Blood, Tomato, Onion, Spices, Oil",Mutton Brain Curry,"Mutton brain, tomato, onion, garlic, ginger, green chilies, turmeric, red chili powder, coriander powder, garam masala, curry leaves, salt, oil","Clean the mutton brain thoroughly. Heat oil in a pan and sauté onions, garlic, and ginger until golden. Add chopped tomatoes and cook until soft. Add turmeric, chili powder, coriander powder, and salt. Stir well and add the cleaned brain. Cook gently, stirring occasionally, until the brain is cooked through. Sprinkle garam masala and serve with rice or roti.",
"Mutton Brain, Blood, Tomato, Onion, Tamarind",Tamarind Mutton Brain Curry,"Mutton brain, mutton blood, tamarind pulp, onion, tomato, garlic, ginger, red chili powder, turmeric, mustard seeds, curry leaves, oil, sal","Heat oil in a pan and add mustard seeds and curry leaves. Sauté onions, garlic, and ginger. Add tomatoes and cook until soft. Add tamarind pulp and water, bringing to a boil. Add turmeric, chili powder, and salt. Add the mutton brain and blood, and cook until tender. Serve hot with rice.",
"Mutton Blood, Tomato, Onion, Curry Leaves",Mutton Blood Fry,"Mutton blood, onion, tomato, garlic, ginger, red chili powder, turmeric, pepper powder, curry leaves, oil, salt","Heat oil in a pan and sauté curry leaves, garlic, and ginger. Add onions and fry until golden brown. Add chopped tomatoes and cook until the oil separates. Add turmeric, chili powder, and pepper powder. Pour in the mutton blood and stir continuously to prevent clumping. Cook until it becomes dry and crumbly. Serve with rice.",
"Mutton Brain, Blood, Tomato, Onion, Pepper",Bheja Pepper Fry,"Mutton brain, onion, tomato, black pepper, garlic, ginger, curry leaves, turmeric, fennel powder, salt, oil","Clean and boil the mutton brain for 5 minutes. Chop it into small pieces. Heat oil in a pan, add curry leaves, garlic, and ginger. Sauté onions until golden, then add tomatoes and cook until mushy. Add turmeric, pepper, and fennel powder. Finally, add the brain pieces and toss gently. Cook for a few minutes and serve hot.",
"Cabbage, Onion, Tomato, Spices, Oil",Cabbage Stir Fry,"Cabbage, onion, tomato, mustard seeds, green chilies, curry leaves, turmeric, red chili powder, salt, oil","Heat oil in a pan and add mustard seeds. Once they splutter, add curry leaves and green chilies. Sauté onions until translucent. Add chopped tomatoes and cook until soft. Add turmeric and chili powder. Add finely chopped cabbage and stir well. Cook covered for 10-12 minutes until the cabbage is tender. Serve as a side dish.",
"Cabbage, Onion, Tomato, Garlic, Ginger",Cabbage Masala Curry,"Cabbage, onion, tomato, garlic, ginger, turmeric, red chili powder, coriander powder, garam masala, salt, oil","Heat oil in a pan and add chopped onions. Sauté until golden brown. Add minced garlic and ginger, and cook until fragrant. Add chopped tomatoes and cook until mushy. Add turmeric, chili powder, and coriander powder. Add shredded cabbage and mix well. Cook for 15 minutes until soft. Sprinkle garam masala and serve.",
"Cabbage, Onion, Tomato, Rice",Cabbage Tomato Rice,"Cooked rice, cabbage, onion, tomato, mustard seeds, curry leaves, turmeric, green chilies, salt, oil","Heat oil in a pan and add mustard seeds. Once they splutter, add curry leaves, green chilies, and onions. Sauté until golden brown. Add tomatoes and cook until soft. Add shredded cabbage, turmeric, and salt. Cook until cabbage is tender. Mix with cooked rice and serve hot.",
"Cabbage, Onion, Tomato, Chickpeas",Cabbage Chana Curry,"Cabbage, onion, tomato, boiled chickpeas, ginger-garlic paste, turmeric, red chili powder, cumin seeds, coriander powder, garam masala, oil, salt","Heat oil in a pan, add cumin seeds. Sauté onions until golden, then add ginger-garlic paste and cook until fragrant. Add chopped tomatoes and cook until mushy. Add turmeric, chili powder, and coriander powder. Add shredded cabbage and stir. Add boiled chickpeas and cook for 10-12 minutes. Sprinkle garam masala before serving.",
"Cabbage, Onion, Tomato, Eggs",Cabbage Egg Bhurji,"Cabbage, onion, tomato, eggs, green chilies, turmeric, red chili powder, coriander leaves, salt, oil","Heat oil in a pan, sauté chopped onions until golden. Add green chilies and tomatoes. Cook until tomatoes turn mushy. Add shredded cabbage, turmeric, and chili powder. Stir well and cook until the cabbage is tender. Break eggs into the pan and scramble. Cook until eggs are fully done. Garnish with coriander leaves and serve hot.",
"Brinjal, Tomato, Onion, Tamarind",Brinjal Curry,"Brinjal, tomato, onion, tamarind, mustard seeds, curry leaves, garlic, turmeric, red chili powder, coriander powder, salt, oil","Soak tamarind in warm water and extract the pulp. Heat oil in a pan, add mustard seeds and curry leaves. Sauté chopped onions until golden. Add garlic and cook until fragrant. Add chopped tomatoes and cook until soft. Add brinjal pieces, turmeric, chili powder, and coriander powder. Mix well. Pour in the tamarind pulp, add water, and cook until brinjal is soft. Simmer for 10 minutes and serve with rice.",
"Brinjal, Tomato, Onion, Curry Leaves",Brinjal Fry,"Brinjal, tomato, onion, mustard seeds, curry leaves, turmeric, red chili powder, salt, oil","Cut the brinjals into thin slices. Heat oil in a pan, add mustard seeds and curry leaves. Sauté chopped onions until golden. Add chopped tomatoes and cook until mushy. Add turmeric and red chili powder. Add the brinjal slices, mix well, and cook uncovered on low heat until the brinjal is crispy and golden. Serve as a side dish.",
"Brinjal, Tomato, Onion, Coconut",Brinjal Coconut Curry,"Brinjal, tomato, onion, grated coconut, green chilies, turmeric, mustard seeds, curry leaves, salt, oil","Grind grated coconut with green chilies into a paste. Heat oil in a pan, add mustard seeds and curry leaves. Sauté onions until golden. Add chopped tomatoes and cook until mushy. Add chopped brinjal, turmeric, and salt. Cook until the brinjal is tender. Add the coconut paste and cook for another 5 minutes. Serve with rice or roti.",
"Mochai, Coconut, Onion, Tomato, Spices, Oil",Mochai Kuzhambu,"Mochai, coconut, onion, tomato, garlic, tamarind, mustard seeds, curry leaves, turmeric, red chili powder, coriander powder, salt, oil","Soak mochai overnight and cook until tender. Extract tamarind juice. Heat oil in a pan, add mustard seeds and curry leaves. Sauté chopped onions until golden. Add garlic and tomatoes, cook until mushy. Add turmeric, chili powder, and coriander powder. Pour in the tamarind juice and bring to a boil. Add cooked mochai and simmer for 10 minutes. Garnish with coconut paste and cook for another 5 minutes. Serve with rice.",
"Mochai, Rice, Onion, Garlic, Spices, Ghee",Mochai Pulao,"Mochai, rice, onion, garlic, green chilies, bay leaf, cinnamon, cardamom, cloves, turmeric, garam masala, salt, ghee","Heat ghee in a pressure cooker. Add bay leaf, cinnamon, cardamom, and cloves. Sauté onions and garlic until golden. Add green chilies and soaked mochai. Add turmeric, garam masala, and salt. Mix well. Add washed rice and water (1:2 ratio). Pressure cook for 2 whistles. Let it rest before fluffing with a fork. Serve with raita.","Heat ghee in a pressure cooker. Add bay leaf, cinnamon, cardamom, and cloves. Sauté onions and garlic until golden. Add green chilies and soaked mochai. Add turmeric, garam masala, and salt. Mix well. Add washed rice and water (1:2 ratio). Pressure cook for 2 whistles. Let it rest before fluffing with a fork. Serve with raita."
"Mochai, Rice, Turmeric, Garlic, Spices, Oil",Mochai Lemon Rice,"Cooked rice, boiled mochai, lemon juice, mustard seeds, curry leaves, dry red chilies, turmeric, salt, oil","Heat oil in a pan, add mustard seeds, curry leaves, and dry red chilies. Add turmeric and boiled mochai. Stir for 2 minutes. Add cooked rice and mix well. Squeeze fresh lemon juice and mix until combined. Serve with papad or pickle.",
"Mochai, Raw Banana, Coconut, Onion, Spices, Oil",Vazhakkai Mochai Kootu,"Mochai, raw banana, grated coconut, green chilies, cumin seeds, mustard seeds, curry leaves, turmeric, salt, oil","Cook mochai and chopped raw banana in water with turmeric and salt. Grind grated coconut with green chilies and cumin seeds to a fine paste. Heat oil in a pan, add mustard seeds and curry leaves. Add the cooked mochai and banana, then add the coconut paste. Simmer for 5 minutes and serve with rice.",
